time_id,investment_date,investment_month,investment_quarter,investment_year
108,2023-10-16,10,4,2023
109,2023-10-17,10,4,2023
110,2023-10-18,10,4,2023
111,2023-10-19,10,4,2023
112,2023-10-20,10,4,2023
113,2023-10-21,10,4,2023
114,2023-10-22,10,4,2023
115,2023-10-23,10,4,2023
116,2023-10-24,10,4,2023
117,2023-10-25,10,4,2023
118,2023-10-26,10,4,2023
119,2023-10-27,10,4,2023
120,2023-10-28,10,4,2023
121,2023-10-29,10,4,2023
122,2023-10-30,10,4,2023
123,2023-10-31,10,4,2023
124,2023-11-01,11,4,2023
125,2023-11-02,11,4,2023
126,2023-11-03,11,4,2023
127,2023-11-04,11,4,2023
128,2023-11-05,11,4,2023
129,2023-11-06,11,4,2023
130,2023-11-07,11,4,2023
131,2023-11-08,11,4,2023
132,2023-11-09,11,4,2023
133,2023-11-10,11,4,2023
134,2023-11-11,11,4,2023
135,2023-11-12,11,4,2023
136,2023-11-13,11,4,2023
137,2023-11-14,11,4,2023
138,2023-11-15,11,4,2023
139,2023-11-16,11,4,2023
140,2023-11-17,11,4,2023
141,2023-11-18,11,4,2023
142,2023-11-19,11,4,2023
143,2023-11-20,11,4,2023
144,2023-11-21,11,4,2023
145,2023-11-22,11,4,2023
146,2023-11-23,11,4,2023
147,2023-11-24,11,4,2023
148,2023-11-25,11,4,2023
149,2023-11-26,11,4,2023
150,2023-11-27,11,4,2023
151,2023-11-28,11,4,2023
152,2023-11-29,11,4,2023
153,2023-11-30,11,4,2023
154,2023-12-01,12,4,2023
155,2023-12-02,12,4,2023
156,2023-12-03,12,4,2023
157,2023-12-04,12,4,2023
158,2023-12-05,12,4,2023
159,2023-12-06,12,4,2023
160,2023-12-07,12,4,2023
161,2023-12-08,12,4,2023
162,2023-12-09,12,4,2023
163,2023-12-10,12,4,2023
164,2023-12-11,12,4,2023
165,2023-12-12,12,4,2023
166,2023-12-13,12,4,2023
167,2023-12-14,12,4,2023
168,2023-12-15,12,4,2023
169,2023-12-16,12,4,2023
170,2023-12-17,12,4,2023
171,2023-12-18,12,4,2023
172,2023-12-19,12,4,2023
173,2023-12-20,12,4,2023
174,2023-12-21,12,4,2023
175,2023-12-22,12,4,2023
176,2023-12-23,12,4,2023
177,2023-12-24,12,4,2023
178,2023-12-25,12,4,2023
179,2023-12-26,12,4,2023
180,2023-12-27,12,4,2023
181,2023-12-28,12,4,2023
182,2023-12-29,12,4,2023
183,2023-12-30,12,4,2023
184,2023-12-31,12,4,2023
185,2024-01-01,1,1,2024
186,2024-01-02,1,1,2024
187,2024-01-03,1,1,2024
188,2024-01-04,1,1,2024
189,2024-01-05,1,1,2024
190,2024-01-06,1,1,2024
191,2024-01-07,1,1,2024
192,2024-01-08,1,1,2024
193,2024-01-09,1,1,2024
194,2024-01-10,1,1,2024
195,2024-01-11,1,1,2024
196,2024-01-12,1,1,2024
197,2024-01-13,1,1,2024
198,2024-01-14,1,1,2024
199,2024-01-15,1,1,2024
200,2024-01-16,1,1,2024
201,2024-01-17,1,1,2024
202,2024-01-18,1,1,2024
203,2024-01-19,1,1,2024
204,2024-01-20,1,1,2024
205,2024-01-21,1,1,2024
206,2024-01-22,1,1,2024
207,2024-01-23,1,1,2024
208,2024-01-24,1,1,2024
209,2024-01-25,1,1,2024
210,2024-01-26,1,1,2024
211,2024-01-27,1,1,2024
212,2024-01-28,1,1,2024
213,2024-01-29,1,1,2024
214,2024-01-30,1,1,2024
215,2024-01-31,1,1,2024
216,2024-02-01,2,1,2024
217,2024-02-02,2,1,2024
218,2024-02-03,2,1,2024
219,2024-02-04,2,1,2024
220,2024-02-05,2,1,2024
221,2024-02-06,2,1,2024
222,2024-02-07,2,1,2024
223,2024-02-08,2,1,2024
224,2024-02-09,2,1,2024
225,2024-02-10,2,1,2024
226,2024-02-11,2,1,2024
227,2024-02-12,2,1,2024
228,2024-02-13,2,1,2024
229,2024-02-14,2,1,2024
230,2024-02-15,2,1,2024
231,2024-02-16,2,1,2024
232,2024-02-17,2,1,2024
233,2024-02-18,2,1,2024
234,2024-02-19,2,1,2024
235,2024-02-20,2,1,2024
236,2024-02-21,2,1,2024
237,2024-02-22,2,1,2024
238,2024-02-23,2,1,2024
239,2024-02-24,2,1,2024
240,2024-02-25,2,1,2024
241,2024-02-26,2,1,2024
242,2024-02-27,2,1,2024
243,2024-02-28,2,1,2024
244,2024-02-29,2,1,2024
245,2024-03-01,3,1,2024
246,2024-03-02,3,1,2024
247,2024-03-03,3,1,2024
248,2024-03-04,3,1,2024
249,2024-03-05,3,1,2024
250,2024-03-06,3,1,2024
251,2024-03-07,3,1,2024
252,2024-03-08,3,1,2024
253,2024-03-09,3,1,2024
254,2024-03-10,3,1,2024
255,2024-03-11,3,1,2024
256,2024-03-12,3,1,2024
257,2024-03-13,3,1,2024
258,2024-03-14,3,1,2024
259,2024-03-15,3,1,2024
260,2024-03-16,3,1,2024
261,2024-03-17,3,1,2024
262,2024-03-18,3,1,2024
263,2024-03-19,3,1,2024
264,2024-03-20,3,1,2024
265,2024-03-21,3,1,2024
266,2024-03-22,3,1,2024
267,2024-03-23,3,1,2024
268,2024-03-24,3,1,2024
269,2024-03-25,3,1,2024
270,2024-03-26,3,1,2024
271,2024-03-27,3,1,2024
272,2024-03-28,3,1,2024
273,2024-03-29,3,1,2024
274,2024-03-30,3,1,2024
275,2024-03-31,3,1,2024
276,2024-04-01,4,2,2024
277,2024-04-02,4,2,2024
278,2024-04-03,4,2,2024
279,2024-04-04,4,2,2024
280,2024-04-05,4,2,2024
281,2024-04-06,4,2,2024
282,2024-04-07,4,2,2024
283,2024-04-08,4,2,2024
284,2024-04-09,4,2,2024
285,2024-04-10,4,2,2024
286,2024-04-11,4,2,2024
287,2024-04-12,4,2,2024
288,2024-04-13,4,2,2024
289,2024-04-14,4,2,2024
290,2024-04-15,4,2,2024
291,2024-04-16,4,2,2024
292,2024-04-17,4,2,2024
293,2024-04-18,4,2,2024
294,2024-04-19,4,2,2024
295,2024-04-20,4,2,2024
296,2024-04-21,4,2,2024
297,2024-04-22,4,2,2024
298,2024-04-23,4,2,2024
299,2024-04-24,4,2,2024
300,2024-04-25,4,2,2024
301,2024-04-26,4,2,2024
302,2024-04-27,4,2,2024
303,2024-04-28,4,2,2024
304,2024-04-29,4,2,2024
305,2024-04-30,4,2,2024
306,2024-05-01,5,2,2024
307,2024-05-02,5,2,2024
308,2024-05-03,5,2,2024
309,2024-05-04,5,2,2024
310,2024-05-05,5,2,2024
311,2024-05-06,5,2,2024
312,2024-05-07,5,2,2024
313,2024-05-08,5,2,2024
314,2024-05-09,5,2,2024
315,2024-05-10,5,2,2024
316,2024-05-11,5,2,2024
317,2024-05-12,5,2,2024
318,2024-05-13,5,2,2024
319,2024-05-14,5,2,2024
320,2024-05-15,5,2,2024
321,2024-05-16,5,2,2024
322,2024-05-17,5,2,2024
323,2024-05-18,5,2,2024
324,2024-05-19,5,2,2024
325,2024-05-20,5,2,2024
326,2024-05-21,5,2,2024
327,2024-05-22,5,2,2024
328,2024-05-23,5,2,2024
329,2024-05-24,5,2,2024
330,2024-05-25,5,2,2024
331,2024-05-26,5,2,2024
332,2024-05-27,5,2,2024
333,2024-05-28,5,2,2024
334,2024-05-29,5,2,2024
335,2024-05-30,5,2,2024
336,2024-05-31,5,2,2024
337,2024-06-01,6,2,2024
338,2024-06-02,6,2,2024
339,2024-06-03,6,2,2024
340,2024-06-04,6,2,2024
341,2024-06-05,6,2,2024
342,2024-06-06,6,2,2024
343,2024-06-07,6,2,2024
344,2024-06-08,6,2,2024
345,2024-06-09,6,2,2024
346,2024-06-10,6,2,2024
347,2024-06-11,6,2,2024
348,2024-06-12,6,2,2024
349,2024-06-13,6,2,2024
350,2024-06-14,6,2,2024
351,2024-06-15,6,2,2024
352,2024-06-16,6,2,2024
353,2024-06-17,6,2,2024
354,2024-06-18,6,2,2024
355,2024-06-19,6,2,2024
356,2024-06-20,6,2,2024
357,2024-06-21,6,2,2024
358,2024-06-22,6,2,2024
359,2024-06-23,6,2,2024
360,2024-06-24,6,2,2024
361,2024-06-25,6,2,2024
362,2024-06-26,6,2,2024
363,2024-06-27,6,2,2024
364,2024-06-28,6,2,2024
365,2024-06-29,6,2,2024
366,2024-06-30,6,2,2024
367,2024-07-01,7,3,2024
